sst,lat_of_mackerel,lat_of_menhaden,time
6.3991219237627925,50.0,53.0,2018.0
6.401739850280882,50.003561804786514,53.003561804786514,2018.08347245409
6.405160856624038,50.008216235185365,53.008216235185365,2018.1669449081803
6.409056587457121,50.01351654924399,53.01351654924399,2018.2504173622704
6.413138987430251,50.01907083492171,53.01907083492171,2018.3338898163606
6.41719637191446,50.02459108592063,53.02459108592063,2018.4173622704507
6.42110213023021,50.029905042812814,53.029905042812814,2018.500834724541
6.424804929326408,50.034942864712406,53.034942864712406,2018.584307178631
6.428309211082096,50.03971059499225,53.03971059499225,2018.6677796327212
6.431653160546417,50.04426018610017,53.04426018610017,2018.7512520868113
6.434889040763745,50.04866274421899,53.04866274421899,2018.8347245409016
6.438068503158634,50.0529885433957,53.0529885433957,2018.9181969949916
6.441233600847357,50.05729479875451,53.05729479875451,2019.0016694490819
6.444412937312455,50.06162042659818,53.06162042659818,2019.085141903172
6.447621682359358,50.06598606611777,53.06598606611777,2019.1686143572622
6.450863979859222,50.07039735523324,53.07039735523324,2019.2520868113522
6.454136406720716,50.07484963667745,53.07484963667745,2019.3355592654425
6.457431465372545,50.07933270967313,53.07933270967313,2019.4190317195325
6.460740473600521,50.08383476168399,53.08383476168399,2019.5025041736228
6.464055565399102,50.08834509066165,53.08834509066165,2019.5859766277129
6.467370784215296,50.09285559245239,53.09285559245239,2019.669449081803
6.470682419058742,50.09736121808973,53.09736121808973,2019.7529215358932
6.4739888117974775,50.101859711611816,53.101859711611816,2019.8363939899832
6.477289871407065,50.10635094917588,53.10635094917588,2019.9198664440735
6.480586493468988,50.11083614926013,53.11083614926013,2020.0033388981635
6.483880024616492,50.11531714401864,53.11531714401864,2020.0868113522538
6.487171850406499,50.119795818562864,53.119795818562864,2020.1702838063438
6.490463133180741,50.12427375431014,53.12427375431014,2020.253756260434
6.49375468959157,50.12875206235208,53.12875206235208,2020.3372287145241
6.4970469764698064,50.13323136422723,53.13323136422723,2020.4207011686144
6.500340146300902,50.13771186739879,53.13771186739879,2020.5041736227045
6.503634135900501,50.14219348590164,53.14219348590164,2020.5876460767947
6.506928759818946,50.146675967423334,53.146675967423334,2020.6711185308848
6.510223790001559,50.1511590016854,53.1511590016854,2020.754590984975
6.513519012719425,50.15564229790018,53.15564229790018,2020.838063439065
6.516814261264019,50.16012562925337,53.16012562925337,2020.9215358931554
6.520109427798871,50.16460884902868,53.16460884902868,2021.0050083472454
6.523404460189704,50.16909188629512,53.16909188629512,2021.0884808013357
6.526699350099016,50.173574729709145,53.173574729709145,2021.1719532554257
6.529994117796628,50.17805740684876,53.17805740684876,2021.2554257095157
6.533288797648026,50.182539964469704,53.182539964469704,2021.338898163606
6.536583426612667,50.18702245285697,53.18702245285697,2021.422370617696
6.539878036659076,50.19150491550515,53.19150491550515,2021.5058430717863
6.543172650959109,50.19598738394057,53.19598738394057,2021.5893155258764
6.546467283101602,50.20046987665144,53.20046987665144,2021.6727879799666
6.549761938315998,50.20495240075266,53.20495240075266,2021.7562604340567
6.553056615722132,50.20943495504672,53.20943495504672,2021.839732888147
6.55635131081386,50.213917533402814,53.213917533402814,2021.923205342237
6.559646017644149,50.21840012772974,53.21840012772974,2022.0066777963273
6.562940730435282,50.22288273016665,53.22288273016665,2022.0901502504173
6.566235444545692,50.2273653343985,53.2273653343985,2022.1736227045076
6.569530156865815,50.23184793619459,53.23184793619459,2022.2570951585976
6.57282486578976,50.23633053337002,53.23633053337002,2022.340567612688
6.576119570929357,50.240813125396684,53.240813125396684,2022.424040066778
6.579414272719745,50.2452957128666,53.2452957128666,2022.5075125208682
6.5827089720281835,50.24977829695972,53.24977829695972,2022.5909849749582
6.586003669834701,50.2542608790094,53.2542608790094,2022.6744574290485
6.589298367014224,50.25874346020603,53.25874346020603,2022.7579298831386
6.592593064220424,50.263226041438955,53.263226041438955,2022.8414023372288
6.595887761853295,50.26770862325239,53.26770862325239,2022.9248747913189
6.599182460084359,50.27219120587968,53.27219120587968,2023.008347245409
6.602477158913043,50.27667378932007,53.27667378932007,2023.0918196994992
6.605771858232322,50.28115637342793,53.28115637342793,2023.1752921535892
6.609066557888356,50.28563895799397,53.28563895799397,2023.2587646076795
6.612361257725777,50.29012154280678,53.29012154280678,2023.3422370617695
6.615655957616003,50.29460412769144,53.29460412769144,2023.4257095158598
6.61895065746999,50.2990867125268,53.2990867125268,2023.5091819699499
6.6222453572390725,50.30356929724664,53.30356929724664,2023.5926544240401
6.625540056908269,50.30805188183058,53.30805188183058,2023.6761268781302
6.628834756486133,50.31253446629026,53.31253446629026,2023.7595993322204
6.6321294559942645,50.31701705065507,53.31701705065507,2023.8430717863105
6.635424155458484,50.32149963496013,53.32149963496013,2023.9265442404007
6.638718854902618,50.32598221923786,53.32598221923786,2024.0100166944908
6.642013554345006,50.330464803513216,53.330464803513216,2024.093489148581
6.645308253797315,50.334947387802075,53.334947387802075,2024.176961602671
6.648602953264997,50.339429972111844,53.339429972111844,2024.2604340567614
6.651897652748686,50.34391255644339,53.34391255644339,2024.3439065108514
6.655192352245916,50.348395140793365,53.348395140793365,2024.4273789649417
6.658487051752744,50.3528777251564,53.3528777251564,2024.5108514190317
6.661781751265015,50.35736030952683,53.35736030952683,2024.5943238731218
6.665076450779184,50.361842893899855,53.361842893899855,2024.677796327212
6.668371150292717,50.366325478272,53.366325478272,2024.761268781302
6.67166584980416,50.370808062641316,53.370808062641316,2024.8447412353923
6.674960549312985,50.37529064700706,53.37529064700706,2024.9282136894824
