sst,time
7.954714,1854.0
8.199177,1854.083164300203
7.6553307,1854.1663286004057
7.1226873,1854.2494929006086
6.1800337,1854.3326572008114
4.9131484,1854.4158215010143
4.8139668,1854.498985801217
5.0554943,1854.58215010142
5.2821836,1854.6653144016227
5.317713,1854.7484787018257
5.85634,1854.8316430020284
6.717391,1854.9148073022313
7.556667,1854.997971602434
7.674979,1855.081135902637
7.310297,1855.1643002028397
6.716781,1855.2474645030427
5.9920835,1855.3306288032454
5.381481,1855.4137931034484
5.112573,1855.496957403651
4.999568,1855.580121703854
5.2832727,1855.6632860040568
5.9043145,1855.7464503042597
6.5032806,1855.8296146044624
7.1659055,1855.9127789046654
7.8736644,1855.9959432048681
8.030637,1856.079107505071
7.49314,1856.1622718052738
7.069069,1856.2454361054768
6.2049494,1856.3286004056795
5.435691,1856.4117647058824
5.064801,1856.4949290060852
5.071781,1856.578093306288
5.05458,1856.6612576064908
5.2476735,1856.7444219066938
5.9672384,1856.8275862068965
7.3794503,1856.9107505070995
7.42226,1856.9939148073022
6.854237,1857.0770791075051
6.539807,1857.1602434077079
6.4338264,1857.2434077079108
6.146089,1857.3265720081135
5.3797436,1857.4097363083165
5.071728,1857.4929006085192
4.8999405,1857.5760649087222
5.149505,1857.659229208925
5.20452,1857.7423935091279
5.9427896,1857.8255578093306
6.647458,1857.9087221095335
7.4473004,1857.9918864097363
7.3812103,1858.0750507099392
7.044305,1858.158215010142
6.61547,1858.2413793103449
5.8704886,1858.3245436105476
5.204252,1858.4077079107506
4.8794327,1858.4908722109533
4.785416,1858.5740365111562
4.767916,1858.657200811359
4.921465,1858.740365111562
5.5921617,1858.8235294117646
6.5910974,1858.9066937119676
7.1667204,1858.9898580121703
7.5135384,1859.0730223123733
7.090793,1859.156186612576
6.3521204,1859.239350912779
5.82532,1859.3225152129817
5.3042765,1859.4056795131846
5.2015243,1859.4888438133873
5.056781,1859.5720081135903
5.0889344,1859.655172413793
5.0678654,1859.738336713996
5.687875,1859.8215010141987
6.569855,1859.9046653144017
7.4269395,1859.9878296146044
7.678758,1860.0709939148073
7.5763144,1860.15415821501
6.725637,1860.237322515213
5.7009063,1860.3204868154157
5.161286,1860.4036511156187
4.88365,1860.4868154158214
4.807458,1860.5699797160244
4.923228,1860.653144016227
5.088187,1860.73630831643
5.596573,1860.8194726166328
6.294495,1860.9026369168357
